"hhnum","hhwgt","hhwgt1","hhwgt2","hhwgt3","hhwgt4","hhwgt5","hhwgt6","hhwgt7","hhwgt8","hhwgt9","hhwgt10","hhwgt11","hhwgt12","hhwgt13","hhwgt14","hhwgt15","hhwgt16","hhwgt17","hhwgt18","hhwgt19","hhwgt20","hhwgt21","hhwgt22","hhwgt23","hhwgt24","hhwgt25","hhwgt26","hhwgt27","hhwgt28","hhwgt29","hhwgt30","hhwgt31","hhwgt32","hhwgt33","hhwgt34","hhwgt35","hhwgt36","hhwgt37","hhwgt38","hhwgt39","hhwgt40","hhwgt41","hhwgt42","hhwgt43","hhwgt44","hhwgt45","hhwgt46","hhwgt47","hhwgt48","hhwgt49","hhwgt50","hhwgt51","hhwgt52","hhwgt53","hhwgt54","hhwgt55","hhwgt56","hhwgt57","tspsu","tsstrata"
110165,4880.80550818779,4901.77090438172,4863.89250263716,4719.36621357565,5076.30268029592,4910.70324788054,4843.3224999024,4875.87159247694,4881.2886741592,4794.51267796889,4963.43028429258,4616.66674282951,5116.63113519884,4977.39098005326,4806.49826288167,4940.71550582241,4817.30805530759,4949.71692859395,4810.13704750268,4854.18547820969,4912.70800191487,4926.21854064786,4878.22526931901,4823.04656694758,4901.02566238181,4848.89448451332,4874.66672876029,4883.20769659698,4998.41256720693,4769.07264290406,4782.5164506842,4997.47507818446,4932.75628188715,4835.54269513245,4826.6652257196,4946.88434486028,4791.28267380392,4963.80912997195,4913.61058176055,4847.95231740165,4848.48017480692,4906.62288300699,4910.29796089054,4900.05492861189,4869.71936910704,4849.21073414463,4879.81159013511,4877.96046069203,0,9936.22656547594,4886.43716777053,4873.24813611985,4812.51502202852,4938.86673956175,5197.82136383872,4617.39745660696,4721.18247186969,5042.85147871134,58,13
110169,2133.59983088234,2114.2853371289,2148.39046646262,2139.48640883453,2128.49611297854,2078.60282648914,2148.08368261585,2107.64297736593,2160.1581798538,2188.70037281101,2096.31456390112,2121.48185850523,2113.55450202152,2145.07091330721,2114.96547807183,2093.63361667276,2177.49226674863,2171.40526424296,2092.26988369638,2061.49460148457,2211.41799381493,2159.53740064822,2202.1580324967,2005.4201332524,1908.86240311066,2392.74675332718,2220.76327092513,2042.57880052916,2115.8907010689,2167.12350669829,2182.29339810804,2078.68674349618,2190.55033073285,2074.50591399609,2201.61641896145,2072.68842162557,2206.82082268325,2066.23156789927,2256.18046242711,2017.49365325969,2416.17944438449,2410.92860639916,2382.00074046327,0,2562.04241749256,2381.27963874101,2448.7489606155,2491.94388597332,2125.80883990292,2146.53995545167,2110.52754646708,2169.43948948379,2120.49879263841,2143.2046686924,2094.73314722055,2152.1861373131,2473.4022826141,1878.370422134,6,1
110171,1985.01111442745,1955.67902775627,2020.46436608603,1937.88808535802,2037.22598108672,2052.69282252559,1937.0156603482,0,4020.10251007972,1993.70502898679,1975.592186905,1867.47993212036,2112.60108675496,1932.15494074454,2026.29091635864,2029.05804676241,1942.35175569738,1960.22110646035,2009.59642350867,2052.3411595358,1918.57815684713,2052.39785214083,1975.23799623497,1922.59904607247,1997.25286999514,1977.71528996699,2001.59914547706,1970.31779017811,1949.02873088601,2020.59714554252,1975.11966431759,1997.41165712324,1992.56581936257,1978.51290468129,1993.24077095956,1974.77959783169,1932.59088097489,2033.75949607027,1968.99802175728,2001.15113797175,1971.74268574873,1991.72285735774,1985.27687073933,1987.42884849335,1980.3430611723,1975.32497201856,1993.84510051045,1990.97787698415,2046.47276133987,1928.58008387418,2017.62508516895,1957.22433882438,1980.30241859579,1987.97782674169,2070.02814152124,1897.57365147399,2005.86696007094,1986.11286667477,43,12
110175,20555.8108413349,20480.5394091769,20674.7773189018,24065.0485061425,18719.3074603221,20479.4638573074,20760.9311681554,20876.7299738006,20332.8427103005,22234.7763002706,19322.8328788152,21262.6181694456,19877.4630739768,20707.8363371376,20350.5302903561,19057.2413915742,22266.2067617929,20175.2685977705,21241.4698741091,20131.6323900338,20987.8949675763,19532.7280667186,19912.8464170668,22478.3565175314,20195.3127430305,20976.1034052452,0,42364.5620298127,20883.4300227246,20207.8460596708,20071.5142457022,21158.080869196,20194.7654976394,20728.0298054772,20336.4977835065,20775.684390737,19341.2771065832,21925.8585086417,20750.3904381392,20419.476720925,20956.2725015774,20686.4649176887,20573.5347763593,20276.8401134706,20700.6538247336,20286.5231200381,20445.8540964604,20553.7458351754,21692.3366807001,19583.2106853244,20300.2142437067,20860.5770397232,20302.7391576597,20853.2032951818,19740.9131866233,21542.1160061384,17355.8126650057,24503.122093568,12,7
110179,15423.4379119622,15440.1762433305,15362.6006660052,15538.6151038212,15357.6632035424,15927.8253835049,14919.0796872694,15747.0183441855,15004.9269916294,15635.5010521146,15189.5337381442,15068.2457098863,15839.0481935945,15460.2808962776,15248.6699450442,15282.4448474308,15591.3503757442,15338.5754690683,15516.7730305959,31193.6283811183,0,15110.8729300371,16141.1798597039,15046.3558532287,15438.2999310459,15393.6436131608,15369.0829293073,15475.792834805,15674.3487049472,15173.4037641593,15398.2399906433,15502.899420551,15211.6273025921,15710.3232596835,15603.6516429731,15272.0332634195,16187.0550766409,15221.8583889447,15509.4017351507,15232.6295009948,15075.414273666,15312.245379534,15432.9097365595,15239.4579025233,15138.3785321121,16660.7685608639,15240.2096238477,15472.1506939977,15544.9617943899,15322.0249888202,14945.2399114442,15889.7804576882,14919.496185345,15847.2423079609,15732.7006245223,15011.1383663455,15459.5268933946,15444.292342986,30,17
110189,5641.41859853549,5706.97230011394,5569.15265030749,5542.04959965644,5682.14526384507,5907.43364588698,5447.66065529112,5596.82565132731,5681.66090680337,5752.77195314165,5503.42576809674,5517.44590539254,5760.27365243403,5579.65486413074,5687.3975235714,5528.82603535369,5771.22549299147,0,11742.0803636429,5705.63127499242,5578.23207338178,5671.18905546879,5513.40344294631,5768.17864308238,5480.09396681907,5807.71012824479,5642.22215868905,5655.46210583182,5650.38876651067,5634.35740633048,5648.41581278005,5608.94376854193,5652.95989727645,5623.82633975102,5781.8767026082,5492.0965092783,5342.1898575546,5972.48857128487,5617.16822715852,5678.84363755619,5582.42111732109,5632.10570051378,5641.83122386618,5630.67718925201,5698.58224024133,5660.69824549193,5649.47848577298,5632.33388608243,6232.37847998135,5159.71814574493,5666.81997042902,5666.8244380765,5745.45927727923,5565.5593991876,5775.24103884781,5495.91633282452,5325.86645363278,6022.57354391742,54,3
110190,4200.88979044921,4275.09678417173,4134.0928612389,4178.97531490562,4261.15397600685,8429.01318181708,0,4152.48016544388,4241.65343965279,4272.5208209072,4127.73367216343,4006.64143653603,4404.99683082457,4098.59584038153,4296.65802313456,4217.38065049651,4186.67029528646,4261.19528960702,4133.77478795694,4134.14857611893,4270.93056612543,4428.35294523283,3863.25606962505,4275.45487335813,4231.01839997014,4184.59060470394,4260.10136848681,4144.80168531826,4251.24783013663,4152.209691701,4288.32904619521,4068.66080092773,4267.28381420137,4140.78261198,4058.1771459799,4348.73236074365,4192.09122612292,4215.67075649648,4252.78161907085,4149.13180000773,4195.1508073796,4233.11093352625,4211.54411331489,4208.93388407885,4211.09436853021,4180.03164747727,4217.83210906997,4146.95533766899,4046.06483475322,4353.45789016301,4222.06321202304,4178.35541943622,4212.33021439261,4189.94298826403,4465.67681790504,4005.75262754883,4188.48989976067,4212.77148787764,18,11
110193,8456.32245536816,8443.44359130323,8554.73668940271,8426.78663380551,8443.08586132413,8324.80701394791,8521.61317242883,8186.97049152673,8762.36834342485,8322.56323047337,8603.21465335345,8694.72433178917,8237.47233358527,8456.3369892445,8486.44776087652,8192.3246628188,8746.00891128585,8684.51938838042,8021.1927532894,8150.93002962894,8789.06340255477,8124.13904657376,8761.09041953327,8545.99220869412,8386.09767136312,8534.66254728724,8739.40635085195,8201.01868994906,8226.40004689077,8715.95452914843,8440.62996863169,8457.73178291537,8547.27523672675,8378.97743854588,8807.74516289073,8115.37928966556,8709.52955700968,8237.10481425783,8857.87537784941,8083.42923602366,0,9589.83186982533,9601.62656106992,9649.98170100493,9635.84264497607,9441.83905795087,9601.5895970556,9627.71560459076,8412.95440268412,8499.60889161791,8305.88896582244,8613.01158787547,8369.39563670773,8597.32493718294,8602.19189149115,8331.76688615191,9832.1080991413,7476.35751767608,1,1
110196,2753.99538191974,2710.20656755922,2786.65177503652,2704.96564378216,2805.21540576791,2877.30069322941,2654.3731431639,2857.78032753543,2643.36787817772,2662.93753590777,2835.49335255575,2693.42471777814,2811.72896225788,2775.90395118862,2731.09994419944,2685.95342522748,2822.49423276171,0,5574.40261655316,2692.40691227127,2818.40965629448,2748.83878073959,2858.41628563929,2649.79350159357,2527.66050631007,2992.49676176554,2778.50654527816,2730.82662024391,2686.16061450848,2835.97306150729,2758.42899461822,2745.13837207336,2933.78237884264,2582.41909986583,2879.79200974273,2633.00331765801,2826.36103002032,2687.10908686586,2806.77398246807,2702.71079859088,2856.70494595413,2772.73944411067,2734.45207106449,2758.10017132406,2777.44546936069,2688.34396064669,2738.65730890412,2711.31529012106,2850.78554961796,2675.76218489424,2724.05908398925,2809.83607138284,2748.90699594654,2754.26525888805,2631.33564908149,2795.89022620886,3113.65125992764,2492.20457575939,54,3
110205,18541.7789085001,19525.5359867774,17416.9269268644,18092.6909795016,19015.9159205736,18032.0773158941,19149.7825727494,18642.810867674,18505.3093379247,18880.760137246,18182.423407085,18783.6843202304,18337.5359777827,18372.841247144,18700.6661902776,18597.7188378677,18495.1362717936,0,34616.378038185,18336.9155621197,18740.5881741756,18174.2135680052,17990.6479292671,19619.3330007359,18939.7026845722,17678.2231238753,18734.3956788395,18369.1252051836,18685.215130796,18376.6128147653,18178.4025340235,18953.9011383691,17953.3943432588,19213.8480571555,18258.4814483304,18822.9600010448,18555.0400215796,18520.2935492849,18591.7609187784,18487.8345551693,18506.9894305659,18629.9579169537,18628.0626447951,18539.3921553416,18496.578753798,18491.8394671469,18528.8290805743,18496.6609335653,18409.7113752138,18660.9300599945,18597.9916667039,18409.0080969307,18760.7721340793,18326.2505530074,18984.1197113931,18145.0701940975,18090.5630955936,18904.9940903251,54,3
110207,3290.37196606086,3297.94125706279,3284.24882059818,3256.55294004248,3357.56817493003,3311.69797756398,3266.18482056803,3324.23235918407,3252.09799524476,3170.96319042204,3431.27250552093,3209.82567886386,3374.47720090967,3449.52420109535,3123.11066521998,3275.23412414985,3303.31698600147,0,6600.73678912999,3273.10763608426,3311.91698186308,3319.63256259119,3224.12911271139,3327.66278383905,3295.54453626931,3280.5961045548,3371.74323959921,3211.94868492414,3343.32764675095,3244.17073009595,3212.28980370451,3378.34575463082,3356.67913525194,3229.64923646512,3213.48537177397,3377.30881391484,3226.07056059386,3350.05737241249,3298.93564135924,3283.58507782553,3266.98749383814,3290.91270090373,3299.59249871938,3306.73629956595,3294.01687705672,3275.09236502593,3297.65111143709,3288.13165358195,3364.64622374566,3221.06144444147,3309.92268549304,3261.51549529616,3253.26883570822,3322.81475463497,3545.71677760316,3082.54287327141,3174.6927187282,3394.65535177423,54,3
110212,1514.71228409149,1476.1166605868,1558.01593104913,1454.02010242464,1585.3666094208,1446.81331323033,1610.18656348146,1491.9275178501,1542.10515227942,1615.87479264259,1436.16983837995,1477.94444199282,1557.81268189915,1506.86969619897,1515.21565330722,1533.9852055821,1492.1471314969,1562.61635851307,1448.78557241079,1609.31609808062,1424.34520348103,1515.94689350141,1543.61397424961,1483.35946100189,1508.98318405168,1516.42133351186,3110.51769923359,0,1537.98284353046,1492.72386914655,1489.4938870813,1547.29177772637,1520.42332108171,1507.26543317411,1479.28246607811,1554.23711398913,1518.10017521177,1525.46428109619,1488.17534590113,1538.64866829307,1508.78170733596,1512.87146501586,1521.61064956963,1504.07259120102,1488.29343790258,1550.86794585785,1513.61813460571,1521.46073524115,1706.53956022986,1376.14852084211,1504.90150895674,1522.65699310689,1471.28255090102,1553.80843399148,1565.96932371682,1467.27002663339,1513.31809126456,1522.8988231516,21,7
110218,9749.66008003906,9766.44130493216,9750.65821256687,9410.1022921348,10144.1549626314,9871.10731815871,9675.21358336936,9215.98974134677,10368.4876758558,9673.81918858978,9852.57382985326,9459.45399295289,10084.7899913353,9674.69144733881,9785.56644596009,9885.21411608355,9604.47493687988,9741.40861588833,9776.05420076472,9827.09619173081,9682.55609728183,9652.20589096571,10315.2101467172,9298.58993747096,0,19087.0447007909,9894.75518547743,9589.64181359588,10033.1395732623,9465.62581586238,9144.45507565283,10427.2526290553,9904.15295288084,9681.04004226922,9301.64780217578,10397.2478572516,10134.7558232771,9664.57555981678,9761.45301764287,9732.18746789579,9674.22513917649,9809.60486398404,9686.55160754533,9784.16623636469,9678.68930541704,9692.30042312562,9761.28373035298,9872.22471043233,9738.51536258727,9757.96032632981,9828.95842613745,9678.83839421219,9479.56612293591,9993.41457877147,10127.6957502369,9392.24532008103,9687.95798055878,9848.62473391595,57,20
110228,62383.5977440445,60867.6405640927,63664.1422404686,65525.5559858552,59872.1636266349,61479.0871272137,62368.6652358468,66503.9857419757,58335.6828625009,67811.4263494634,57944.8867381696,62383.3020955306,62697.6924110103,64386.3963514276,60023.8666075082,61778.4108803267,63752.2851800325,60733.3997316743,64224.3690217,61874.3144705774,62829.758808264,62954.683827546,63946.0558110624,60190.2149517494,61229.485991145,62700.4807756895,63406.2392978757,61437.9566863908,62023.9316110822,62650.3536281785,62036.6719361823,63577.1249596362,62253.8677960793,62535.5250476719,63189.9888843426,61647.7088545672,65179.5171112025,59650.6181131447,64342.0853849014,60776.3604957558,60687.9112743241,61558.4839821207,61760.9604469342,62149.3990065307,62824.9064177196,68361.1212172685,61729.0808331704,60989.1174700887,64673.831473068,60308.2801915872,61694.7156759274,63879.2733818172,61543.4878951998,63004.1415245965,0,126886.489538551,62459.6559159898,62074.2134192382,46,6
110229,21492.0806103245,22086.479606181,20823.3250112177,21765.6843478553,21354.2956344155,21808.652627197,21251.4876110238,22038.7198110324,20953.7739534689,21482.6422024068,21513.9707687488,21306.7228502586,21715.3457430424,21600.6642325469,21254.1951307789,20985.7031811264,22021.9729719738,21168.5344925605,21691.8073287965,21290.4994773009,21676.7293920975,20680.6916542388,22035.4964014253,21787.019503089,21107.4541909528,21876.6334816429,21530.2308594113,21427.6262168587,21472.4234458449,21465.0863412111,21316.5842731058,21670.9673216512,20634.2103131396,22536.5759271654,43589.4884823431,0,21153.8699622881,21786.0339518594,22477.8881481114,20663.5478861681,21049.1959436903,21331.3045644641,21299.5675921255,21300.2077347036,21246.4206548777,23442.2211420859,21274.8698976771,21289.2957770802,21714.8063596387,21296.2271757076,20972.4434109318,21944.2200828091,21525.4847480258,21368.7093367897,22668.2421661406,20430.6058182199,20810.23764187,21953.0164038451,53,8
110244,37681.1250666719,37262.7791157999,38113.1639461806,36349.7406123463,39517.5753131066,38165.3502101159,37366.8072517183,37630.265106396,37590.6651756276,37737.3392947113,37713.084831538,35665.944997966,39763.6073704561,37112.938610317,38206.1711463839,0,74314.7543875068,37246.6010089922,38060.558666454,38078.7780355855,37297.3022093254,38469.8185465299,37507.6636222979,37069.9750252578,37214.9322141907,38163.1292398097,37714.2713676443,37647.8331635849,38078.18813731,37322.4395259071,37234.900708615,38145.2159505643,37903.1902153564,37526.9167839458,37641.783172277,37753.9316681744,37329.4608621923,38079.7748584536,37715.9091526373,37604.7614788027,37473.4053944717,37878.2219728103,37518.0763032662,37743.6565230078,37683.1136247723,37670.0845298875,37763.7060639275,37708.0029613992,38158.6819005706,37219.9050352585,37834.7672870032,37510.6073108679,38339.68319887,37156.7366629968,41634.276758344,34537.7576040322,37544.0827575689,37776.9347567621,15,9
110245,2969.4988815395,2862.56803620455,3174.03145980292,2910.99531625516,3052.21079870118,6171.85602367056,0,3152.25210604608,2789.93876336536,2928.84447512164,3010.69057708364,2832.75070248974,3107.17990663871,3011.25535038967,2920.97628167183,2953.89812479913,2990.81339134349,2941.52063398782,2992.69796597926,2989.07174307829,2947.32436128866,3075.17073402852,2915.57303948813,2904.44595321208,2832.02329793333,3113.35621481593,2963.17082070525,2971.50132500718,2993.44077223962,2946.49930865834,2971.49511499801,2967.37177970009,2980.06993612966,2933.91889990755,2920.69606616189,3021.79455827047,2881.77735214622,3044.41358205267,2946.25709953031,2995.46056417192,3014.38511840561,2994.97518416691,2954.45105174697,2974.69693023863,2986.82097200864,2924.42680739192,2979.81537450937,2928.66872391179,3080.54110565041,2872.66563388489,3032.76224644461,2912.468309546,3017.92779190508,2922.13220370877,3255.51856972802,2762.28179675794,2843.54907437052,3061.30082574398,18,11
110251,15758.0465235714,16192.2916187896,15393.5937246733,15359.0975058855,16007.2881151437,16287.1129810363,15174.2360464786,15085.3530898299,16513.1766573408,15816.0197890657,15623.889440673,15234.8858011797,16350.5502861522,15565.7371078034,15846.2972840461,31982.4081475539,0,14943.3337950781,16732.2412166237,15600.3641723703,15919.6734848873,15559.3409968097,16764.881005509,14867.8328271215,15456.4054126786,16017.8247036779,15642.3209927136,15902.2557227966,15385.9247917766,16193.6308354058,16002.8044542433,15522.0002003978,16222.6853539458,15351.0133849039,16307.6485316859,15261.3341262581,15761.717807642,15733.313203478,16458.2615344362,15102.157788866,16071.9354505777,15879.420190958,15708.1351018707,15866.0276695281,15647.754527425,15449.2706804667,15662.6687136741,15794.4713360237,15542.8424998811,16104.6755670388,15287.8694910558,16292.5746827341,15244.0388571189,16234.594567555,15346.1482659399,16012.9377162264,19269.3627223523,13391.6121739962,48,9
