"hhnum","eventid","itemnum","bundlenum","bundletype","menugrp","nonschmealitem","itemdesc","itemdescsource","quantity","quantity_flag","size","size_flag","sizeunit","sizeunit_flag","sizerelative","gramstotal","additem_flag","itemcost","itemcost_flag","totitemcost","free","free_flag2","impitemcost","impcostmethod","imptotcost"
118156,16977,2,1,3,"TOP",-996,"Cole Slaw",7,1,0,1,6,"LARGE",0,"LARGE",114,0,0,5,0,0,0,,-996,
118156,16977,6,1,3,"TOP",-996,"Biscuit",7,1,1,4,4,"PIECE",4,,54,0,0,5,0,0,0,,-996,
118156,16977,1,1,3,"TOP",-996,"10 PIECE MEAL COMBO",6,1,0,10,2,"PIECE",2,,769,0,20.99,0,20.99,0,0,,-996,
118156,16977,3,1,3,"TOP",-996,"Mashed Potatoes",7,1,0,1,6,"LARGE",0,"LARGE",102,2,0,5,0,0,0,,-996,
118156,16977,4,1,3,"TOP",-996,"Macaroni & Cheese",7,1,0,1,6,"LARGE",0,"LARGE",135,0,0,5,0,0,0,,-996,
118156,16981,3,,,"GEN",-996,"EQUAL",6,3,0,,0,,0,,6.63215909090909,0,0,0,0,0,0,,-996,
118156,16981,1,,,"GEN",-996,"MUFFIN, BLUEBERRY",5,1,0,1,6,"LARGE",0,,108.299943019943,0,1.32,0,1.32,0,0,,-996,
118156,16981,2,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,1,0,12,0,"OZ",1,,355.2,0,0.27,0,0.27,0,0,,-996,
118156,16982,1,,,"GEN",-996,"PIZZA, CHEESE",5,2,0,1,6,"MEDIUM",0,,714,0,0,0,0,1,0,,-996,
118156,16982,3,,,"BEV",-996,"REGULAR SODA, DR PEPPER, ROOT BEER",6,1,0,1,6,"LARGE",0,,614,0,0,0,0,1,0,,-996,
118156,16982,2,,,"GEN",-996,"CHICKEN WINGS",5,3,0,,0,,0,,330,0,0,0,0,1,0,,-996,
118156,16983,2,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,1,0,16,0,"OZ",1,,473.6,0,0,0,0,1,0,,-996,
118156,16983,4,,,"GEN",-996,"PACK OF BUTTER",6,4,0,,0,,0,,39.2999535962877,0,0,0,0,1,0,,-996,
118156,16983,1,,,"GEN",-996,"BAGEL (ANY TYPE)",5,1,0,1,6,"LARGE",0,,87.7424617737003,0,0,0,0,1,0,,-996,
118156,16983,3,,,"GEN",-996,"EQUAL",6,3,0,,0,,0,,6.63215909090909,0,0,0,0,1,0,,-996,
118156,16984,2,,,"GEN",-996,"ASPARAGUS",5,1,0,,0,,0,,149,0,0,0,0,1,0,,-996,
118156,16984,1,,,"GEN",-996,"GRILLED SALMON",6,1,0,8,0,"OZ",1,,226.8,0,0,0,0,1,0,,-996,
118156,16984,4,,,"BEV",-996,"GINGER ALE",6,1,0,1,6,"LARGE",0,,610,0,0,0,0,1,0,,-996,
118156,16984,3,,,"GEN",-996,"BIMINI MAC AND CHEESE",6,1,0,,0,,0,,135,0,0,0,0,1,0,,-996,
118156,16985,5,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,1,0,8,0,"OZ",1,,236.8,0,0,0,0,1,0,,-996,
118156,16985,4,,,"GEN",-996,"HAM AND SWISS FINGER SANDWICH",6,1,0,,0,,0,,155,0,0,0,0,1,0,,-996,
118156,16985,6,,,"GEN",-996,"EQUAL",6,3,0,,0,,0,,6.63215909090909,0,0,0,0,1,0,,-996,
118156,16985,2,,,"GEN",-996,"CHICKEN SALAD FINGER SANDWICHES",6,1,0,,0,,0,,179.25,0,0,0,0,1,0,,-996,
118156,16985,1,,,"GEN",-996,"FINGER SANDWICH",6,3,0,,0,,0,,249,0,0,0,0,1,0,,-996,
118156,16985,3,,,"GEN",-996,"ROAST BEEF AND SWISS FINGER SANDWICH",6,1,0,,0,,0,,193.113333333333,0,0,0,0,1,0,,-996,
118156,16986,1,,,"BEV",-996,"HEINEKEN",6,1,0,12,0,"OZ",1,,360,0,0,0,0,1,0,,-996,
118156,16987,3,1,3,"BEV",-996,"DIET SODA, COKE, PEPSI",5,1,0,1,6,"SMALL",0,"SMALL",592,0,0,5,0,0,0,,-996,
118156,16987,2,1,3,"TOP",-996,"Onion Rings",7,1,0,1,6,"SMALL",0,"SMALL",91,0,0,5,0,0,0,,-996,
118156,16987,1,1,3,"TOP",-996,"Whopper Sandwich",7,1,0,,0,,0,,256,0,5.69,0,5.69,0,0,,-996,
118169,22467,3,,,"BEV",-996,"JUICE, ORANGE",5,1,0,,0,,0,,211.68064516129,0,0,0,0,1,0,,-996,
118169,22467,1,,,"GEN",-996,"SAUSAGE EGG AND CHEESE BISCUIT",6,1,0,,0,,0,,221,0,0,0,0,1,0,,-996,
118169,22467,2,,,"GEN",-996,"PINEAPPLE",5,1,0,2,0,"SLICE",0,,127,0,0,0,0,1,0,,-996,
118169,22468,1,,,"GEN",-996,"BLUE CHEESEBURGER",6,1,0,,0,,0,,312,0,0,0,0,1,0,,-996,
118169,22468,4,,,"BEV",-996,"WATER, NFS",5,1,0,,0,,0,,592,0,0,0,0,1,0,,-996,
118169,22468,2,,,"GEN",-996,"FRENCH FRIES",5,1,0,,0,,0,,117,0,0,0,0,1,0,,-996,
118169,22468,3,,,"GEN",-996,"CHEESECAKE",6,1,0,1,0,"SLICE",0,,92,0,0,0,0,1,0,,-996,
118169,23177,1,,,"TOP",-996,"Pepperoni Round Hot-n-Ready Pizza, 14""",7,2,0,1,6,"MEDIUM",0,"MEDIUM",1984,0,5.99,0,11.98,0,0,,-996,
118169,23177,2,,,"BEV",-996,"REGULAR SODA, DR PEPPER, ROOT BEER",5,1,0,20,0,"OZ",1,,614,0,1.49,0,1.49,0,0,,-996,
118169,23177,4,,,"TOP",-996,"Caesar Dips, Cheezy Jalapeno",7,2,0,,0,,0,,60,0,0.79,0,1.58,0,0,,-996,
118169,23177,3,,,"BEV",-996,"DIET SODA, COKE, PEPSI",5,1,0,20,0,"OZ",1,,592,0,1.49,0,1.49,0,0,,-996,
118170,8615,3,,,"GEN",-996,"MANDARIN ORANGES",6,1,0,1,6,"SMALL",0,,135.014285714286,0,0,0,0,1,0,,-996,
118170,8615,1,,,"GEN",-996,"FRENCH TOAST (PLAIN OR FLAVORED)",5,2,0,,0,,0,,258.998040816327,0,0,0,0,1,0,,-996,
118170,8615,2,,,"GEN",-996,"SAUSAGE LNK",6,3,0,,0,,0,,123.529545454545,0,0,0,0,1,0,,-996,
118170,8615,4,1,6,"GEN",-996,"BUTTER",6,1,0,,0,,0,,9.82498839907193,0,0,0,0,1,0,,-996,
118170,8615,5,1,6,"GEN",-996,"SYRUP",6,1,0,,0,,0,,36.1245901639344,2,0,0,,1,0,,-996,
118170,8618,1,,,"GEN",-996,"BISCUITS",6,1,0,,0,,0,,40.5284090909091,0,0,0,0,1,0,,-996,
118170,8618,2,,,"GEN",-996,"GRAVY",5,1,0,,0,,0,,58.2549549549551,0,0,0,0,1,0,,-996,
118170,8618,3,,,"GEN",-996,"TOAST",6,2,0,,0,,0,,78.8235294117647,0,0,0,0,1,0,,-996,
118170,8618,4,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,1,0,,0,,0,,255.057586206897,0,0,0,0,1,0,,-996,
118170,8619,4,,,"BEV",-996,"ICE TEA",6,1,0,,0,,0,,512.26425572519,0,0,0,0,1,0,,-996,
118170,8619,3,,,"GEN",-996,"CARROT CAKE",6,1,0,1,6,"SMALL",0,,115.8603125,0,0,0,0,1,0,,-996,
118170,8619,1,,,"GEN",-996,"BOLOGNA AND CHEESE SANDWICH",6,1,0,,0,,0,,192,0,0,0,0,1,0,,-996,
118170,8619,2,,,"GEN",-996,"VEGETABLE SOUP",5,1,0,,0,,0,,291.616893203884,0,0,0,0,1,0,,-996,
118170,8620,3,,,"GEN",-996,"ICE CREAM",6,1,0,,0,,0,,78.0277777777778,0,0,0,0,1,0,,-996,
118170,8620,2,,,"GEN",-996,"GREEN BEANS",5,1,0,,0,,0,,65.8892307692308,0,0,0,0,1,0,,-996,
118170,8620,4,,,"BEV",-996,"ICE TEA",6,2,0,,0,,0,,1024.52851145038,0,0,0,0,1,0,,-996,
118170,8620,1,,,"GEN",-996,"CHICKEN POT PIE",6,1,0,,0,,0,,316.173529411765,0,0,0,0,1,0,,-996,
118170,9924,2,,,"GEN",-996,"CANADIAN BACON",6,1,0,4,0,,0,,51.962962962963,0,0,0,0,1,0,,-996,
118170,9924,3,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,4,0,8,0,"OZ",1,,947.2,0,0,0,0,1,0,,-996,
118170,9924,1,,,"GEN",-996,"BLUEBERRY PANCAKES",6,1,0,2,0,"PIECE",3,,76.2305673758865,0,0,0,0,1,0,,-996,
118170,9925,3,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,2,0,8,0,"OZ",1,,473.6,0,0,0,0,1,0,,-996,
118170,9925,2,,,"GEN",-996,"MEATLOAF",6,1,0,1,0,"SERVING",0,,84.97325,0,0,0,0,1,0,,-996,
118170,9925,1,,,"GEN",-996,"MONTE CRISTO SANDWICH",6,1,0,1,0,,0,,192,0,0,0,0,1,0,,-996,
118170,30432,1,,,"GEN",-996,"FRIED EGGS",6,2,0,,0,,0,,142.315303430079,0,0,0,0,1,0,,-996,
118170,30432,3,,,"GEN",-996,"TOAST",6,2,0,,0,,0,,78.8235294117647,0,0,0,0,1,0,,-996,
118170,30432,5,,,"BEV",-996,"COFFEE",6,6,0,,0,,0,,1530.34551724138,0,0,0,0,1,0,,-996,
118170,30432,2,,,"GEN",-996,"BACON",5,2,0,,0,,0,,25.0967028985508,0,0,0,0,1,0,,-996,
118170,30432,4,,,"GEN",-996,"HASH BROWNS",6,1,6,1,0,"SERVING",0,,124.946536312849,0,0,0,0,1,0,,-996,
118170,30433,2,,,"GEN",-996,"HOT DOGS",6,2,0,,0,,0,,210,0,0,0,0,1,0,,-996,
118170,30433,3,,,"BEV",-996,"ICE TEA WITH LEMONADE",6,2,0,,0,,0,,900.588778979907,0,0,0,0,1,0,,-996,
118170,30433,1,,,"GEN",-996,"HAMBURGER",5,1,0,,0,,0,,107.806417910448,0,0,0,0,1,0,,-996,
